,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Vandoorne,Nato,Vandoorne,di Grassi,Da Costa,Vandoorne,Frijns,Dicktum,No
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,di Grassi,Cassidy,Dennis,Rowland,Dennis,Wehrlein,di Grassi,Frijns,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,0
,,,,,,,,,
Total Round Points,,,,,0,,,,
,,,,,,,,,
,,,,Season Points,0,,,,
,,,,,,,,,
Round 2 - Diriyah 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Dennis,Bird,di Grassi,Eric Vergne,Dennis,di Grassi,Wehrlein,Evans,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Buemi,Da Costa,Rast,Dennis,Wehrlein,Dennis,Bird,Mueller,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,10,,,,
,,,,,,,,,
Round 3 - Diriyah 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Buemi,Van der Linde,Wehrlein,Vandoorne,Wehrlein,Dennis,Bird,Da Costa,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Hughes,Van der Linde,Bird,Da Costa,Wehrlein,Dennis,Rast,Mueller,Yes
,,,,,,,,,
Points,0,10,0,0,20,10,0,0,10
,,,,,,,,,
Total Round Points,,,,,50,,,,
,,,,,,,,,
,,,,Season Points,60,,,,
,,,,,,,,,
Round 4 - Hyderabad,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Buemi,Da Costa,Bird,Da Costa,Wehrlein,Buemi,Dennis,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Van der Linde,Mueller,Lotterer,Eric Vergne,Cassidy,Da Costa,Van der Linde,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,70,,,,
,,,,,,,,,
Round 5 - Cape Town,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Van der Linde,Bird,Lotterer,Wehrlein,Cassidy,Rast,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Fenestraz,Sette Camara,Eric Vergne,Da Costa,Da Costa,Eric Vergne,Cassidy,Wehrlein,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,hello James :),,
,,,,,,,,,
,,,,Season Points,80,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 6 - Sao Paulo,,,,,,,,,
