,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Eric Vergne,Frijns,Eric Vergne,Rast,Eric Vergne,Vandoorne,Hughes,Buemi,No
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,di Grassi,Cassidy,Dennis,Rowland,Dennis,Wehrlein,di Grassi,Frijns,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,0
,,,,,,,,,
Total Round Points,,,,,0,,,,
,,,,,,,,,
,,,,Season Points,0,,,,
,,,,,,,,,
Round 2 - Diriyah 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Mortara,Buemi,di Grassi,Buemi,Evans,Bird,Van der Linde,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Buemi,Da Costa,Rast,Dennis,Wehrlein,Dennis,Bird,Mueller,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,10,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,20,,,,
,,,,,,,,,
Round 3 - Diriyah 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Evans,Lotterer,Wehrlein,Wehrlein,Dennis,Evans,Wehrlein,Fenestraz,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Hughes,Van der Linde,Bird,Da Costa,Wehrlein,Dennis,Rast,Mueller,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,30,,,,
,,,,,,,,,
Round 4 - Hyderabad,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Buemi,Nato,Dennis,Wehrlein,Evans,Dennis,Bird,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Van der Linde,Mueller,Lotterer,Eric Vergne,Cassidy,Da Costa,Van der Linde,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,40,,,,
,,,,,,,,,
Round 5 - Cape Town,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Cassidy,Gunther,Cassidy,Dennis,Evans,Bird,Cassidy,Van der Linde,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Fenestraz,Sette Camara,Eric Vergne,Da Costa,Da Costa,Eric Vergne,Cassidy,Wehrlein,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,10,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,60,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 6 - Sao Paulo,,,,,,,,,
