,,,,,,,,,
Round 1 - Mexico City,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Eric Vergne,Evans,Da Costa,di Grassi,Eric Vergne,Wehrlein,Hughes,Mueller,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,di Grassi,Cassidy,Dennis,Rowland,Dennis,Wehrlein,di Grassi,Frijns,Yes
,,,,,,,,,
Points,0,0,0,0,0,10,0,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,20,,,,
,,,,,,,,,
Round 2 - Diriyah 1,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Bird,Fenestraz,Hughes,Eric Vergne,Vandoorne,Bird,Buemi,Van der Linde,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Buemi,Da Costa,Rast,Dennis,Wehrlein,Dennis,Bird,Mueller,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,30,,,,
,,,,,,,,,
Round 3 - Diriyah 2,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Dennis,Fenestraz,Rast,Da Costa,Dennis,Evans,Bird,Cassidy,No
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Hughes,Van der Linde,Bird,Da Costa,Wehrlein,Dennis,Rast,Mueller,Yes
,,,,,,,,,
Points,0,0,0,10,0,0,0,0,0
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,40,,,,
,,,,,,,,,
Round 4 - Hyderabad,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Bird,Cassidy,Rast,Da Costa,Mortara,Bird,Wehrlein,Rowland,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Evans,Van der Linde,Mueller,Lotterer,Eric Vergne,Cassidy,Da Costa,Van der Linde,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,0,0,10
,,,,,,,,,
Total Round Points,,,,,10,,,,
,,,,,,,,,
,,,,Season Points,50,,,,
,,,,,,,,,
Round 5 - Cape Town,,,,,,,,,
,Pole,First Attack Mode/Charge,Fastest Lap,Highest Grid Climber,Win,2nd,3rd,First DNF,Full Safety Car?
,,,,,,,,,
Prediction,Mortara,Fenestraz,Hughes,Bird,Evans,Mortara,Cassidy,Nato,Yes
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Actual Result,Fenestraz,Sette Camara,Eric Vergne,Da Costa,Da Costa,Eric Vergne,Cassidy,Wehrlein,Yes
,,,,,,,,,
Points,0,0,0,0,0,0,10,0,10
,,,,,,,,,
Total Round Points,,,,,20,,,,
,,,,,,,,,
,,,,Season Points,70,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Round 6 - Sao Paulo,,,,,,,,,
